Component,Correlation_r,P_value,P_value_corrected,Significant
PC1,0.10711546378559551,0.3411997836338541,1.0,False
PC2,0.08513452164483967,0.4498440424921354,1.0,False
PC3,0.007185693243662899,0.9492354829396283,1.0,False
PC4,-0.10753448297098218,0.33930351595314423,1.0,False
PC5,-0.03538872239624548,0.7537896152039749,1.0,False
PC6,0.007466495845888307,0.9472544902151755,1.0,False
PC7,0.19756038462108105,0.07708156949723205,1.0,False
PC8,-0.05132269808571288,0.6490912101178874,1.0,False
PC9,0.03620493000953508,0.7482974991934469,1.0,False
PC10,7.029211478083719e-06,0.9999503080655794,1.0,False
